Position,Artist Name,Song Name,Days Song Released,Top 10 (xTimes),Peak Position,Number of times in Peak Position,Peak Streams,Total Streams,Total of all streams,Percentage of Total streams,,,
1,Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,1506,302,1,29,2118242,883369738,2.02936E+11,0.435294815,,,
2,Juice WRLD ,Lucid Dreams,1673,178,1,20,2127668,864832399,2.02936E+11,0.426160239,,SUM,2.02936E+11
3,Lil Uzi Vert ,XO TOUR Llif3,1853,212,1,4,1660502,781153024,2.02936E+11,0.384925866,,MAX,302
4,J. Cole ,No Role Modelz,2547,6,7,0,659366,734857487,2.02936E+11,0.362112986,,XLOOKUP ,Sunflower  SpiderMan: Into the SpiderVerse
5,Post Malone ,rockstar,1223,186,1,124,2905678,718865961,2.02936E+11,0.354232902,,,
6,Travis Scott ,goosebumps,1995,4,8,0,977275,672972704,2.02936E+11,0.331618252,,,
7,The Weeknd ,Blinding Lights,1100,233,1,11,2355059,644287953,2.02936E+11,0.317483374,,,
8,XXXTENTACION ,Jocelyn Flores,1673,44,2,1,3175206,624457164,2.02936E+11,0.30771143,,,
9,XXXTENTACION ,SAD!,1217,133,1,6,4437612,619879245,2.02936E+11,0.305455586,,,
10,Juice WRLD ,All Girls Are The Same,1681,2,5,0,1239152,613872384,2.02936E+11,0.302495608,,,
11,Kendrick Lamar ,HUMBLE.,1175,152,1,67,4060034,606305588,2.02936E+11,0.298766946,,,
12,Post Malone ,Circles,1172,163,1,38,3441328,598521764,2.02936E+11,0.29493134,,,
13,Travis Scott ,SICKO MODE,1046,190,1,19,4129691,586638599,2.02936E+11,0.289075717,,,
14,Lil Baby ,Drip Too Hard (Lil Baby & Gunna),1453,122,1,6,1759294,583443174,2.02936E+11,0.287501119,,,
15,Post Malone ,Congratulations,1215,136,5,0,1263208,546036924,2.02936E+11,0.269068581,,,
16,Post Malone ,I Fall Apart,1278,132,2,14,1275320,543144261,2.02936E+11,0.267643174,,,
17,Glass Animals ,Heat Waves,763,248,1,34,1230046,540754791,2.02936E+11,0.266465724,,,
18,Drake ,God's Plan,634,139,1,70,4739798,534994242,2.02936E+11,0.26362712,,,
19,Roddy Ricch ,The Box,650,197,1,85,3781452,504210201,2.02936E+11,0.248457782,,,
20,J. Cole ,MIDDLE CHILD,1119,106,1,16,3800251,481985952,2.02936E+11,0.237506422,,,
21,XXXTENTACION ,Fuck Love,1406,9,5,0,2438715,473417295,2.02936E+11,0.233284077,,,
22,Post Malone ,Better Now,862,72,1,8,3467168,463551468,2.02936E+11,0.22842253,,,
23,Drake ,One Dance,772,187,1,103,2767175,454267392,2.02936E+11,0.22384765,,,
24,Olivia Rodrigo ,good 4 u,547,187,1,53,4974833,454100610,2.02936E+11,0.223765466,,,
25,Juice WRLD ,Robbery,1086,38,2,2,1724447,443773199,2.02936E+11,0.218676466,,,
26,Billie Eilish ,lovely,1250,0,18,0,733267,437911914,2.02936E+11,0.215788222,,,
27,Joji ,SLOW DANCING IN THE DARK,1496,0,26,0,661274,437333177,2.02936E+11,0.21550304,,,
28,XXXTENTACION ,Moonlight,923,57,2,2,3167290,431568186,2.02936E+11,0.212662247,,,
29,Offset ,Ric Flair Drip (& Metro Boomin),1065,86,4,0,1040394,427614856,2.02936E+11,0.21071418,,,
30,The Kid LAROI ,Stay,531,271,1,45,2345292,426712325,2.02936E+11,0.210269443,,,
31,Lewis Capaldi ,Someone You Loved,952,40,5,0,1118953,410725370,2.02936E+11,0.20239161,,,
32,Harry Styles ,Watermelon Sugar,988,65,3,3,1609066,409073262,2.02936E+11,0.201577507,,,
33,Post Malone ,Wow.,699,115,1,6,2317682,405812776,2.02936E+11,0.19997085,,,
34,Khalid ,Location,999,29,9,0,958542,403645089,2.02936E+11,0.198902687,,,
35,The Neighbourhood ,Sweater Weather,1050,0,12,0,671844,400804036,2.02936E+11,0.197502712,,,
36,Lil Baby ,Yes Indeed,970,43,2,9,1838350,400193604,2.02936E+11,0.197201911,,,
37,The Chainsmokers ,Closer,696,158,1,70,2504045,397735618,2.02936E+11,0.195990699,,,
38,Post Malone ,Psycho,607,107,1,1,3261937,396525691,2.02936E+11,0.195394488,,,
39,The Weeknd ,The Hills,1243,194,1,6,1147436,392023505,2.02936E+11,0.193175962,,,
40,Dua Lipa ,Levitating,738,113,3,3,1284080,387860108,2.02936E+11,0.191124381,,,
41,Billie Eilish ,bad guy,652,108,1,20,2931099,385813103,2.02936E+11,0.190115685,,,
42,Morgan Wallen ,Whiskey Glasses,1324,0,33,0,447546,385368118,2.02936E+11,0.189896412,,,
43,Olivia Rodrigo ,drivers license,613,99,1,46,6145601,381085710,2.02936E+11,0.187786186,,,
44,Doja Cat ,Kiss Me More,550,151,1,11,1846647,376965422,2.02936E+11,0.185755847,,,
45,DaBaby ,ROCKSTAR,549,164,1,65,1975668,373388283,2.02936E+11,0.183993153,,,
46,Lil Nas X ,INDUSTRY BABY,472,267,1,42,2492612,373383279,2.02936E+11,0.183990687,,,
47,The Weeknd ,Starboy,785,141,1,29,2070596,368997138,2.02936E+11,0.181829345,,,
48,Childish Gambino ,Redbone,1075,42,8,0,950460,363834232,2.02936E+11,0.179285239,,,
49,Lil Mosey ,Blueberry Faygo,603,152,2,12,1428849,355016723,2.02936E+11,0.174940268,,,
50,Meek Mill ,Going Bad,638,117,2,10,1719834,349994217,2.02936E+11,0.172465346,,,
51,Khalid ,Young Dumb & Broke,904,69,5,0,1045479,349563888,2.02936E+11,0.172253295,,,
52,Harry Styles ,As It Was,273,203,1,40,5953134,348668080,2.02936E+11,0.171811871,,,
53,Ed Sheeran ,Shape of You,618,96,1,48,2156546,348283656,2.02936E+11,0.17162244,,,
54,Ariana Grande ,7 rings,559,72,1,34,3961641,332694161,2.02936E+11,0.163940462,,,
55,Billie Eilish ,when the party's over,787,9,5,0,1592762,331192577,2.02936E+11,0.163200532,,,
56,Kendrick Lamar ,LOVE. FEAT. ZACARI.,814,25,5,0,2063209,329243971,2.02936E+11,0.162240325,,,
57,Cardi B ,I Like It,548,98,2,1,1636133,329059657,2.02936E+11,0.162149501,,,
58,Lizzo ,Truth Hurts,535,161,2,3,1400026,321459791,2.02936E+11,0.158404544,,,
59,Halsey ,Without Me,617,113,5,0,1345243,320826979,2.02936E+11,0.158092715,,,
60,Logic ,18002738255,590,111,1,10,1559318,320245347,2.02936E+11,0.157806107,,,
61,Bebe Rexha ,Meant to Be,801,0,15,0,787868,318478528,2.02936E+11,0.156935478,,,
62,Ariana Grande ,"thank u, next",463,93,1,42,4190968,317987550,2.02936E+11,0.15669354,,,
63,BlocBoy JB ,Look Alive,495,98,2,4,1802950,316629241,2.02936E+11,0.156024212,,,
64,Marshmello ,Happier,650,28,5,0,1201728,316018345,2.02936E+11,0.155723183,,,
65,James Arthur ,Say You Won't Let Go,1083,0,14,0,664830,315132103,2.02936E+11,0.155286472,,,
66,Arizona Zervas ,ROXANNE,536,123,1,23,1676128,314843202,2.02936E+11,0.155144112,,,
67,24kGoldn ,Mood,547,165,1,2,1633022,314504480,2.02936E+11,0.154977201,,,
68,Drake ,Nice For What,467,93,1,32,3183067,313324663,2.02936E+11,0.154395827,,,
69,blackbear ,hot girl bummer,742,45,5,0,1032214,312411378,2.02936E+11,0.153945791,,,
70,Mariah Carey ,All I Want for Christmas Is You,426,162,1,15,3987998,312323662,2.02936E+11,0.153902567,,,
71,benny blanco ,Eastside,672,15,7,0,1071306,308890413,2.02936E+11,0.152210778,,,
72,Juice WRLD ,Bandit,670,97,2,4,1749825,307048160,2.02936E+11,0.151302978,,,
73,Future ,Life Is Good,601,57,2,33,2873235,305783118,2.02936E+11,0.150679608,,,
74,YNW Melly ,Murder On My Mind,771,43,4,0,1483131,305306060,2.02936E+11,0.15044453,,,
75,Olivia Rodrigo ,deja vu,562,106,2,20,2794828,304638969,2.02936E+11,0.15011581,,,
76,Polo G ,RAPSTAR,519,84,1,22,2691084,299470033,2.02936E+11,0.147568733,,,
77,Luke Combs ,Beautiful Crazy,1123,0,54,0,435905,298483119,2.02936E+11,0.147082415,,,
78,21 Savage ,Bank Account,553,139,1,20,1320772,298320136,2.02936E+11,0.147002102,,,
79,Drake ,Wants and Needs,645,25,2,10,3489465,297154583,2.02936E+11,0.146427757,,,
80,Cardi B ,WAP,417,112,1,64,3030510,296670667,2.02936E+11,0.146189299,,,
81,Travis Scott ,HIGHEST IN THE ROOM,602,69,1,21,3939490,295198938,2.02936E+11,0.145464081,,,
82,Lil Tecca ,Ransom,465,110,1,26,1833927,292578295,2.02936E+11,0.144172716,,,
83,Sheck Wes ,Mo Bamba,421,115,1,7,1709407,289673118,2.02936E+11,0.142741143,,,
84,Post Malone ,White Iverson,1069,45,7,0,613541,288882157,2.02936E+11,0.142351384,,,
85,Drake ,In My Feelings,348,83,1,37,4805299,288633458,2.02936E+11,0.142228834,,,
86,Lil Nas X ,MONTERO (Call Me By Your Name),410,123,1,11,2378862,288187067,2.02936E+11,0.142008867,,,
87,French Montana ,Unforgettable,501,136,1,7,1275953,287042302,2.02936E+11,0.141444766,,,
88,Drake ,Nonstop,478,69,1,7,5749019,286786239,2.02936E+11,0.141318587,,,
89,Post Malone ,Candy Paint,717,42,4,0,1836069,286217712,2.02936E+11,0.141038436,,,
90,DRAM ,Broccoli,646,141,3,16,1079595,285106532,2.02936E+11,0.140490884,,,
91,Dua Lipa ,Don't Start Now,646,47,4,0,1220899,284754771,2.02936E+11,0.140317548,,,
92,Juice WRLD ,Come & Go,644,73,1,4,3220828,280531842,2.02936E+11,0.138236631,,,
93,Juice WRLD ,Wishing Well,625,65,1,6,2817191,277821416,2.02936E+11,0.136901024,,,
94,DaBaby ,BOP,622,76,1,1,1601147,277705797,2.02936E+11,0.136844051,,,
95,Lil Uzi Vert ,20 Min,1012,0,45,0,401156,277454899,2.02936E+11,0.136720417,,,
96,Travis Scott ,BUTTERFLY EFFECT,682,18,9,0,1568959,276763296,2.02936E+11,0.136379618,,,
97,Brenda Lee ,Rockin' Around The Christmas Tree,340,113,1,30,5771662,276529912,2.02936E+11,0.136264615,,,
98,Drake ,Knife Talk,471,91,2,3,3908883,275693546,2.02936E+11,0.135852482,,,
99,Pop Smoke ,For The Night,512,116,2,2,1450903,274720487,2.02936E+11,0.135372991,,,
100,Drake ,Fake Love,525,121,1,15,1527349,274318587,2.02936E+11,0.135174948,,,
101,Internet Money ,Lemonade,517,138,1,11,1437460,273391855,2.02936E+11,0.134718286,,,
102,Tyga ,Taste,486,54,3,1,1484893,272293130,2.02936E+11,0.134176871,,,
103,Future ,Mask Off,441,107,2,29,1768762,271944410,2.02936E+11,0.134005034,,,
104,Olivia Rodrigo ,traitor,522,56,3,15,2709147,271379624,2.02936E+11,0.133726726,,,
105,DaBaby ,Suge,516,51,3,4,1224726,270915921,2.02936E+11,0.133498229,,,
106,SZA ,Good Days,604,83,1,3,1387122,270125295,2.02936E+11,0.133108635,,,
107,Doja Cat ,Need To Know,460,72,3,3,1245936,268475081,2.02936E+11,0.132295466,,,
