,Position,Artist Name,Song Name,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms
0,2,Juice WRLD ,Lucid Dreams,178.0,1,20,2127668,864832399,194,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,83.903,4,239836
1,4,J. Cole ,No Role Modelz,6.0,7,0,659366,734857487,35,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,100.028,4,292799
2,6,Travis Scott ,goosebumps,4.0,8,0,977275,672972704,226,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,130.049,4,243837
3,7,The Weeknd ,Blinding Lights,233.0,1,11,2355059,644287953,121,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,171.005,4,200040
5,8,XXXTENTACION ,Jocelyn Flores,44.0,2,1,3175206,624457164,216,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,134.021,4,119133
6,11,Kendrick Lamar ,HUMBLE.,152.0,1,67,4060034,606305588,96,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,150.011,4,177000
7,12,Post Malone ,Circles,163.0,1,38,3441328,598521764,134,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,120.042,4,215280
8,17,Glass Animals ,Heat Waves,248.0,1,34,1230046,540754791,65,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,80.87,4,238805
9,24,Olivia Rodrigo ,good 4 u,187.0,1,53,4974833,454100610,45,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,166.928,4,178147
11,31,Lewis Capaldi ,Someone You Loved,40.0,5,0,1118953,410725370,168,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,109.891,4,182161
12,32,Harry Styles ,Watermelon Sugar,65.0,3,3,1609066,409073262,123,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,95.39,4,174000
14,39,The Weeknd ,The Hills,194.0,1,6,1147436,392023505,50,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,113.003,4,242253
15,40,Dua Lipa ,Levitating,113.0,3,3,1284080,387860108,38,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,103.014,4,203808
18,43,Olivia Rodrigo ,drivers license,99.0,1,46,6145601,381085710,63,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,143.875,4,242013
